code_commune,commune,creations_total,creations_industrie,creations_construction,creations_commerce_transport,creations_info_com,creations_finance,creations_immo,creations_services_admin,creations_adm_sante_social,creations_autres_services,annee
62027,Ambrines,0,0,0,0,0,0,0,0,0,0,2017
62028,Ames,4,0,0,3,0,0,0,1,0,0,2017
62029,Amettes,7,3,0,1,0,0,0,2,0,1,2017
62030,Amplier,0,0,0,0,0,0,0,0,0,0,2017
62031,Andres,5,0,0,2,0,0,1,0,2,0,2017
62032,Angres,28,1,3,12,1,0,0,5,3,3,2017
62033,Annay,22,1,6,10,0,1,0,0,1,3,2017
62034,Annequin,11,1,2,1,1,0,0,3,2,1,2017
62035,Annezin,25,1,7,5,0,2,0,4,3,3,2017
62036,Anvin,5,0,0,5,0,0,0,0,0,0,2017
62037,Anzin-Saint-Aubin,31,1,1,8,0,3,2,7,6,3,2017
62038,Ardres,28,2,3,9,1,1,0,4,4,4,2017
62039,Arleux-en-Gohelle,7,0,1,0,0,1,0,2,1,2,2017
62040,Arques,41,1,3,19,0,2,2,6,3,5,2017
62041,Arras,402,8,29,138,15,22,8,77,66,39,2017
62042,Athies,7,0,0,4,0,0,1,1,0,1,2017
62043,Les Attaques,14,3,0,6,0,1,0,2,2,0,2017
62044,Attin,6,1,0,3,0,0,0,2,0,0,2017
62045,Aubigny-en-Artois,8,0,3,1,0,0,1,0,3,0,2017
62046,Aubin-Saint-Vaast,7,2,1,2,0,0,0,0,0,2,2017
62047,Aubrometz,0,0,0,0,0,0,0,0,0,0,2017
62048,Auchel,32,2,7,14,1,1,0,1,3,3,2017
62049,Auchy-au-Bois,2,1,0,0,0,0,0,0,0,1,2017
62050,Auchy-lès-Hesdin,11,1,1,4,0,0,0,2,3,0,2017
62051,Auchy-les-Mines,30,4,3,8,0,1,0,4,5,5,2017
62052,Audembert,3,1,0,1,0,0,1,0,0,0,2017
62053,Audincthun,5,1,0,3,0,0,0,1,0,0,2017
62054,Audinghen,4,0,0,3,0,0,0,0,0,1,2017
62055,Audrehem,5,1,0,0,0,0,1,1,2,0,2017
62056,Audresselles,4,0,0,2,1,0,0,1,0,0,2017
62057,Audruicq,22,1,4,5,0,0,0,2,6,4,2017
62058,Aumerval,2,0,0,1,0,0,0,0,1,0,2017
62059,Autingues,3,0,1,0,0,0,0,1,1,0,2017
62060,Auxi-le-Château,22,2,2,9,0,0,0,2,5,2,2017
62061,Averdoingt,3,0,2,1,0,0,0,0,0,0,2017
62062,Avesnes,0,0,0,0,0,0,0,0,0,0,2017
62063,Avesnes-le-Comte,13,1,1,6,1,0,0,2,2,0,2017
62064,Avesnes-lès-Bapaume,0,0,0,0,0,0,0,0,0,0,2017
62065,Avion,59,2,12,23,1,2,0,6,10,3,2017
62066,Avondance,1,0,0,1,0,0,0,0,0,0,2017
62067,Avroult,1,0,0,1,0,0,0,0,0,0,2017
62068,Ayette,0,0,0,0,0,0,0,0,0,0,2017
62069,Azincourt,5,2,0,2,0,0,0,0,0,1,2017
62070,Bailleul-aux-Cornailles,2,0,2,0,0,0,0,0,0,0,2017
62071,Bailleul-lès-Pernes,3,0,0,2,0,0,0,1,0,0,2017
62072,Bailleulmont,0,0,0,0,0,0,0,0,0,0,2017
62073,Bailleul-Sir-Berthoult,10,0,1,3,0,1,1,1,3,0,2017
62074,Bailleulval,1,0,0,0,0,0,0,1,0,0,2017
62075,Baincthun,11,0,0,3,0,0,1,4,2,1,2017
62076,Bainghen,4,0,1,1,0,0,0,1,1,0,2017
62077,Bajus,0,0,0,0,0,0,0,0,0,0,2017
62078,Balinghem,3,0,1,1,0,0,0,1,0,0,2017
62079,Bancourt,4,1,0,0,0,2,1,0,0,0,2017
62080,Bapaume,16,0,1,7,0,1,0,1,3,3,2017
62081,Baralle,7,0,2,1,0,0,0,1,1,2,2017
62082,Barastre,1,0,0,0,0,0,0,1,0,0,2017
62083,Barlin,31,0,5,12,0,1,0,1,5,7,2017
62084,Barly,0,0,0,0,0,0,0,0,0,0,2017
62085,Basseux,0,0,0,0,0,0,0,0,0,0,2017
62086,Bavincourt,3,1,1,0,0,0,0,0,1,0,2017
62087,Bayenghem-lès-Éperlecques,2,0,1,1,0,0,0,0,0,0,2017
62088,Bayenghem-lès-Seninghem,1,0,1,0,0,0,0,0,0,0,2017
62089,Bazinghen,5,0,0,1,0,2,0,0,1,1,2017
62090,Béalencourt,2,2,0,0,0,0,0,0,0,0,2017
62091,Beaudricourt,0,0,0,0,0,0,0,0,0,0,2017
62092,Beaufort-Blavincourt,1,0,0,1,0,0,0,0,0,0,2017
62093,Beaulencourt,0,0,0,0,0,0,0,0,0,0,2017
62094,Beaumerie-Saint-Martin,4,2,1,1,0,0,0,0,0,0,2017
62095,Beaumetz-lès-Aire,3,0,0,3,0,0,0,0,0,0,2017
62096,Beaumetz-lès-Cambrai,3,0,1,0,0,0,1,1,0,0,2017
62097,Beaumetz-lès-Loges,11,0,2,3,1,0,0,0,5,0,2017
62099,Beaurains,37,1,4,18,0,1,0,5,4,4,2017
62100,Beaurainville,10,1,0,1,0,1,0,4,1,2,2017
62101,Beauvois,0,0,0,0,0,0,0,0,0,0,2017
62102,Bécourt,1,0,0,0,0,0,0,0,0,1,2017
62103,Béhagnies,1,0,0,0,0,0,0,0,1,0,2017
62104,Bellebrune,2,0,1,1,0,0,0,0,0,0,2017
62105,Belle-et-Houllefort,5,1,0,1,1,0,0,0,2,0,2017
62106,Bellonne,0,0,0,0,0,0,0,0,0,0,2017
62107,Bénifontaine,3,0,2,0,1,0,0,0,0,0,2017
62108,Berck,89,4,9,33,1,2,4,10,14,12,2017
62109,Bergueneuse,1,0,0,0,0,0,0,0,0,1,2017
